Fault No.,Fault Name,Level,Car Type,D1,D2,D3,D4,D5,D6,D7,D8,D9,TD,C1
TMS-437,Abnormal RIO2 card alignment (SLOT11),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 437,=,#0,U,TMS 437,=,#2,,,,
TMS-438,Abnormal RIO2 card alignment (SLOT12),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 438,=,#0,U,TMS 438,=,#2,,,,
TMS-439,Abnormal RIO2 card alignment (SLOT13),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 439,=,#0,U,TMS 439,=,#2,,,,
TMS-440,Abnormal RIO2 card alignment (SLOT14),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 440,=,#0,U,TMS 440,=,#2,,,,
TMS-441,Abnormal RIO2 card alignment (SLOT15),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 441,=,#0,U,TMS 441,=,#2,,,,
TMS-442,Abnormal RIO2 card alignment (SLOT16),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 442,=,#0,U,TMS 442,=,#2,,,,
TMS-443,Abnormal RIO2 card alignment (SLOT17),3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 443,=,#0,U,TMS 443,=,#2,,,,
TMS-444,Discrepancy of 24VDI from slot 3 between RIO1 & RIO2,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 444,,,,,,,,,,
TMS-445,Discrepancy of 24VDI from slot 4 between RIO1 & RIO2,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 445,,,,,,,,,,
TMS-446,Discrepancy of 24VDI from slot 5 between RIO1 & RIO2,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 446,,,,,,,,,,
TMS-447,Discrepancy of 24VDI from slot 6 between RIO1 & RIO2,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 447,,,,,,,,,,
TMS-448,Discrepancy of 110VDI from slot 11 between RIO1 & RIO2,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 448,,,,,,,,,,
TMS-449,Discrepancy of 110VDI from slot 12 between RIO1 & RIO2,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 449,,,,,,,,,,
TMS-450,Discrepancy of 110VDI from slot 13 between RIO1 & RIO2,3,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 450,,,,,,,,,,
TMS-451,Both RIO transmission Error,1,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",TMS 400,TMS 406,,,,,,,,,
TMS-500,ER1 system Transmission error,2,"MW1, MW2",TMS 500,,,,,,,,,,
TMS-501,ER1 system Sequence Counter Error,3,"MW1, MW2",TMS 501,,,,,,,,,,
TMS-502,ER1 system TMS Transmission error,3,"MW1, MW2",TMS 502,,,,,,,,,,
TMS-503,ER1 system TMS Sequence Counter Error,3,"MW1, MW2",TMS 503,,,,,,,,,,
TMS-504,ER2 system Transmission error,2,"MW1, MW2",TMS 504,,,,,,,,,,
TMS-505,ER2 system Sequence Counter Error,3,"MW1, MW2",TMS 505,,,,,,,,,,
TMS-506,ER2 system TMS Transmission error,3,"MW1, MW2",TMS 506,,,,,,,,,,
TMS-507,ER2 system TMS Sequence Counter Error,3,"MW1, MW2",TMS 507,,,,,,,,,,
TMS-508,"ER Fault - ER Configuration file missing, invalid or corrupted",3,"MW1, MW2",TMS 508,,,,,,,,,,
TMS-509,ER Fault - The Real Time Clock battery is low,3,"MW1, MW2",TMS 509,,,,,,,,,,
TMS-510,ER Fault - ER Program Memory Check Fail,3,"MW1, MW2",TMS 510,,,,,,,,,,
TMS-511,ER Fault - ER Data Memory Check Fail,3,"MW1, MW2",TMS 511,,,,,,,,,,
TMS-512,ER Fault - ER Power Supply Out of Range,3,"MW1, MW2",TMS 512,,,,,,,,,,
TMS-513,ER Fault - No ER inputs change in 92 day,3,"MW1, MW2",TMS 513,,,,,,,,,,
TMS-514,ER Fault - ER internal temperature is High (>85?XC/185?XF),3,"MW1, MW2",TMS 514,,,,,,,,,,
TMS-515,ER Fault - Internal ER Power Supply Failure,3,"MW1, MW2",TMS 515,,,,,,,,,,
TMS-516,ER Fault - Internal ER RTC Failure,3,"MW1, MW2",TMS 516,,,,,,,,,,
TMS-517,ER Fault - Crash Hardened Memory module missing,3,"MW1, MW2",TMS 517,,,,,,,,,,
TMS-518,ER Fault - Self test failed on Crash Hardened Memory,3,"MW1, MW2",TMS 518,,,,,,,,,,
TMS-519,ER Fault - Crash Hardened Memory module communication error,3,"MW1, MW2",TMS 519,,,,,,,,,,
TMS-520,ER Fault - Events Mirror Memory module missing,3,"MW1, MW2",TMS 520,,,,,,,,,,
TMS-521,ER Fault - Self test failed on Events Mirror Memory module,3,"MW1, MW2",TMS 521,,,,,,,,,,
TMS-522,ER Fault - Events Mirror Memory module communication error,3,"MW1, MW2",TMS 522,,,,,,,,,,
TMS-523,ER Fault - Events Spooler Memory device is missing,3,"MW1, MW2",TMS 523,,,,,,,,,,
TMS-524,ER Fault - Self test failed on Events Spooler Memory module,3,"MW1, MW2",TMS 524,,,,,,,,,,
TMS-525,ER Fault - Events Spooler Memory communication error,3,"MW1, MW2",TMS 525,,,,,,,,,,
TMS-526,ER Fault - Events Spooler Memory is full,3,"MW1, MW2",TMS 526,,,,,,,,,,
TMS-527,ER Fault - PTU communication process halted,3,"MW1, MW2",TMS 527,,,,,,,,,,
TMS-528,ER Fault - PTU communication process system error,3,"MW1, MW2",TMS 528,,,,,,,,,,
TMS-531,ER Fault - Crash Hardened Memory management process halted,3,"MW1, MW2",TMS 531,,,,,,,,,,
TMS-532,ER Fault - Crash Hardened Memory management process system error,3,"MW1, MW2",TMS 532,,,,,,,,,,
TMS-533,ER Fault - Events scanning process halted,3,"MW1, MW2",TMS 533,,,,,,,,,,
TMS-534,ER Fault - Events scanning process software system error,3,"MW1, MW2",TMS 534,,,,,,,,,,
TMS-535,ER Fault - TMS communication process halted,3,"MW1, MW2",TMS 535,,,,,,,,,,
TMS-536,ER Fault - TMS communication process system error,3,"MW1, MW2",TMS 536,,,,,,,,,,
TMS-537,ER Fault - TMS COMM ERR,3,"MW1, MW2",TMS 537,,,,,,,,,,
TMS-540,Both ER transmission error,1,"MW1, MW2",TMS 500,TMS 504,,,,,,,,,
CAB-201,PWM AI input fault,2,"Tc1, Tc2",CAB 906,CAB 015,,,,,,,,5s,
CAB-202,PWM failure(Manual),3,"Tc1, Tc2",CAB 905,CAB 015,CAB 007,,,,,,,,
CAB-203,PWM failure(Auto),2,"Tc1, Tc2",CAB 905,VOB 004,CAB 005,,,,,,,,
CAB-209,Traction Interlock Override,1,"Tc1, Tc2",~CAB 027,,,,,,,,,,
CAB-210,EB bypass,1,"Tc1, Tc2",CAB 017,,,,,,,,,,
CAB-211,DSD alarm active,1,"Tc1, Tc2",CAB 018,,,,,,,,,,
CAB-212,DVSS active,1,"Tc1, Tc2",CAB 043,,,,,,,,,,
CAB-213,Enhanced RM active,2,"Tc1, Tc2",CI 003,,,,,,,,,,
CAB-214,Enhanced RM mode over speed,2,"Tc1, Tc2",CI 003,~CAB 044,,,,,,,,,
CAB-215,ATP cutout over speed,2,"Tc1, Tc2",CI 003,~CAB 045,VOB 000,,,,,,,,
CAB-216,Driver Safety Device Bypass Switch,1,"Tc1, Tc2",~CAB 036,,,,,,,,,,
CAB-217,DVIS Isolation Switch,2,"Tc1, Tc2",CAB 046,,,,,,,,,,
CAB-218,Automatically Door Opening Bypass Switch,2,"Tc1, Tc2",CAB 055,,,,,,,,,,
CAB-219,Both CAB Active,1,"Tc1, Tc2",CAB 909,,,,,,,,,,
CAB-220,Door Open Command Fault,1,"Tc1, Tc2",CAB 912,CAB 015,,,,,,,,,
CAB-221,Door Close Command Fault,1,"Tc1, Tc2",CAB 056,CAB 015,,,,,,,,10s,
CAB-228,Rear cab door open up side,2,"Tc1, Tc2",CAB 908,CEN 038,CEN 039,~CAB 038,,,,,,,
CAB-229,Rear cab door open down side,2,"Tc1, Tc2",CAB 908,CEN 038,CEN 039,~CAB 039,,,,,,,
CAB-230,Rear cab partition door open,1,"Tc1, Tc2",CAB 908,~CAB 040,,,,,,,,,
VOBC-200,ATP cutout,1,"Tc1, Tc2",VOB 000,CAB 015,,,,,,,,,
VOBC-201,ATO Emergency brake,2,"Tc1, Tc2",~VOB 002,,,,,,,,,,
VOBC-300,VOBC transmission fault (CS1-1),2,"Tc1, Tc2",VOB 100,,,,,,,,,,
VOBC-301,VOBC transmission fault (CS1-2),2,"Tc1, Tc2",VOB 100,,,,,,,,,,
VOBC-302,Both VOBC transmission fault,1,"Tc1, Tc2",VOB 502,,,,,,,,,5s,
VOBC-303,Both VOBC active,1,"Tc1, Tc2",VOB 503,,,,,,,,,,
VOBC-304,Both VOBC not active,2,"Tc1, Tc2",VOB 501,,,,,,,,,,
VOBC-310,VOBC Speed Change Alarm (CS1-1),3,"Tc1, Tc2",VOB 113,VOB 146,,,,,,,,,
VOBC-311,VOBC Dwell Expiration Alarm (CS1-1),3,"Tc1, Tc2",VOB 114,VOB 146,,,,,,,,,
VOBC-312,VOBC Over speed Alarm (CS1-1),3,"Tc1, Tc2",VOB 115,VOB 146,,,,,,,,,
VOBC-313,VOBC Platform Door Status (CS1-1),2,"Tc1, Tc2",VOB 116,VOB 146,,,,,,,,,
VOBC-314,VOBC Platform Door Interface Unit Communication status (CS1-1),2,"Tc1, Tc2",VOB 117,VOB 146,,,,,,,,,
VOBC-315,VOBC unhealthy (CS1-1),2,"Tc1, Tc2",VOB 104,,,,,,,,,,
VOBC-320,VOBC Speed Change Alarm (CS1-2),3,"Tc1, Tc2",VOB 113,VOB 146,,,,,,,,,
VOBC-321,VOBC Dwell Expiration Alarm (CS1-2),3,"Tc1, Tc2",VOB 114,VOB 146,,,,,,,,,
VOBC-322,VOBC Over speed Alarm (CS1-2),3,"Tc1, Tc2",VOB 115,VOB 146,,,,,,,,,
VOBC-323,VOBC Platform Door Status (CS1-2),2,"Tc1, Tc2",VOB 116,VOB 146,,,,,,,,,
VOBC-324,VOBC Platform Door Interface Unit Communication status (CS1-2),2,"Tc1, Tc2",VOB 117,VOB 146,,,,,,,,,
VOBC-325,VOBC unhealthy (CS1-2),2,"Tc1, Tc2",VOB 104,,,,,,,,,,
BRAKE-202,Bogie 1 parking brake not release,1,"Mp1, MW1, HMp, HT, MW2, Mp2",BR 501,~BR 005,,,,,,,,,
BRAKE-203,Bogie 2 parking brake not release,1,"Tc1, Mp1, MW1, HMp, MW2, Mp2",BR 501,~BR 006,,,,,,,,,
BRAKE-205,PB bypass,2,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",CAB 032,,,,,,,,,,
BRAKE-206,Rescue cock operated open,1,"Tc1, Tc2",~BR 025,,,,,,,,,,
BRAKE-207,Air spring pressure bogie1 failure,2,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",BR 026,,,,,,,,,,
BRAKE-208,Air spring pressure bogie2 failure,2,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",BR 027,,,,,,,,,,
BRAKE-211,EBCU Major fault,1,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",BR 010,DOWN,,,,,,,,,
BRAKE-213,MR low pressure,1,"Tc1, Tc2",~BR 014,DOWN,,,,,,,,,
BRAKE-214,Bogie 1 brake can not release,1,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",BR 008,CAB 000,,,,,,,,,
BRAKE-217,Bogie 2 brake can not release,1,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",BR 009,CAB 000,,,,,,,,,
BRAKE-219,BP air leakage,1,"Tc1, Tc2",BR 004,~CAB 030,,,,,,,,,
BRAKE-220,MR isolate cock No.1 end operated open,1,Tc1,~BR 019,,,,,,,,,,
BRAKE-221,MR isolate cock No.2 end operated open,1,Tc2,~BR 020,,,,,,,,,,
BRAKE-222,Air spring isolate cock bogie1 isolated,1,"Tc1, Mp1, MW1, HMp, HT, MW2, Mp2, Tc2",BR 026,,,,,,,,,,
